ListID,Treatment,IsTestData,IsReplacement,RandomizationSequence,PatientID,ReplacementPatientID,CenterID,TreatmentID,Block,Cohort
1,PT00114,1,,6001,,,,1,1,1
1,PT00114,1,,6002,,,,1,1,1
1,Placebo,1,,6003,,,,6,1,1
1,PT00114,1,,6004,,,,1,1,1
1,Placebo,1,,6005,,,,6,1,1
1,PT00114,1,,6006,,,,1,1,1
1,PT00114,1,,6007,,,,1,2,1
1,PT00114,1,,6008,,,,1,2,1
1,PT00114,1,,6009,,,,1,2,1
1,Placebo,1,,6010,,,,6,2,1
1,Placebo,1,,6011,,,,6,2,1
1,PT00114,1,,6012,,,,1,2,1
1,Placebo,1,,6013,,,,6,3,2
1,PT00114,1,,6014,,,,2,3,2
1,Placebo,1,,6015,,,,6,3,2
1,PT00114,1,,6016,,,,2,3,2
1,PT00114,1,,6017,,,,2,3,2
1,PT00114,1,,6018,,,,2,3,2
1,Placebo,1,,6019,,,,6,4,2
1,PT00114,1,,6020,,,,2,4,2
1,PT00114,1,,6021,,,,2,4,2
1,PT00114,1,,6022,,,,2,4,2
1,PT00114,1,,6023,,,,2,4,2
1,Placebo,1,,6024,,,,6,4,2
1,PT00114,1,,6025,,,,3,5,3
1,Placebo,1,,6026,,,,6,5,3
1,PT00114,1,,6027,,,,3,5,3
1,PT00114,1,,6028,,,,3,5,3
1,Placebo,1,,6029,,,,6,5,3
1,PT00114,1,,6030,,,,3,5,3
1,PT00114,1,,6031,,,,3,6,3
1,Placebo,1,,6032,,,,6,6,3
1,PT00114,1,,6033,,,,3,6,3
1,Placebo,1,,6034,,,,6,6,3
1,PT00114,1,,6035,,,,3,6,3
1,PT00114,1,,6036,,,,3,6,3
1,PT00114,1,,6037,,,,4,7,4
1,Placebo,1,,6038,,,,6,7,4
1,PT00114,1,,6039,,,,4,7,4
1,PT00114,1,,6040,,,,4,7,4
1,PT00114,1,,6041,,,,4,7,4
1,Placebo,1,,6042,,,,6,7,4
1,PT00114,1,,6043,,,,4,8,4
1,PT00114,1,,6044,,,,4,8,4
1,Placebo,1,,6045,,,,6,8,4
1,PT00114,1,,6046,,,,4,8,4
1,Placebo,1,,6047,,,,6,8,4
1,PT00114,1,,6048,,,,4,8,4
1,PT00114,1,,6049,,,,5,9,5
1,PT00114,1,,6050,,,,5,9,5
1,Placebo,1,,6051,,,,6,9,5
1,PT00114,1,,6052,,,,5,9,5
1,Placebo,1,,6053,,,,6,9,5
1,PT00114,1,,6054,,,,5,9,5
1,Placebo,1,,6055,,,,6,10,5
1,Placebo,1,,6056,,,,6,10,5
1,PT00114,1,,6057,,,,5,10,5
1,PT00114,1,,6058,,,,5,10,5
1,PT00114,1,,6059,,,,5,10,5
1,PT00114,1,,6060,,,,5,10,5
1,PT00114,1,,6061,,,,1,11,1
1,Placebo,1,,6062,,,,6,11,1
1,Placebo,1,,6063,,,,6,11,1
1,PT00114,1,,6064,,,,1,11,1
1,PT00114,1,,6065,,,,1,11,1
1,PT00114,1,,6066,,,,1,11,1
1,PT00114,1,,6067,,,,1,12,1
1,Placebo,1,,6068,,,,6,12,1
1,PT00114,1,,6069,,,,1,12,1
1,Placebo,1,,6070,,,,6,12,1
1,PT00114,1,,6071,,,,1,12,1
1,PT00114,1,,6072,,,,1,12,1
1,Placebo,1,,6073,,,,6,13,2
1,Placebo,1,,6074,,,,6,13,2
1,PT00114,1,,6075,,,,2,13,2
1,PT00114,1,,6076,,,,2,13,2
1,PT00114,1,,6077,,,,2,13,2
1,PT00114,1,,6078,,,,2,13,2
1,PT00114,1,,6079,,,,2,14,2
1,Placebo,1,,6080,,,,6,14,2
1,Placebo,1,,6081,,,,6,14,2
1,PT00114,1,,6082,,,,2,14,2
1,PT00114,1,,6083,,,,2,14,2
1,PT00114,1,,6084,,,,2,14,2
1,PT00114,1,,6085,,,,3,15,3
1,PT00114,1,,6086,,,,3,15,3
1,Placebo,1,,6087,,,,6,15,3
1,Placebo,1,,6088,,,,6,15,3
1,PT00114,1,,6089,,,,3,15,3
1,PT00114,1,,6090,,,,3,15,3
1,PT00114,1,,6091,,,,3,16,3
1,Placebo,1,,6092,,,,6,16,3
1,PT00114,1,,6093,,,,3,16,3
1,PT00114,1,,6094,,,,3,16,3
1,Placebo,1,,6095,,,,6,16,3
1,PT00114,1,,6096,,,,3,16,3
1,PT00114,1,,6097,,,,4,17,4
1,Placebo,1,,6098,,,,6,17,4
1,Placebo,1,,6099,,,,6,17,4
1,PT00114,1,,6100,,,,4,17,4
1,PT00114,1,,6101,,,,4,17,4
1,PT00114,1,,6102,,,,4,17,4
1,PT00114,1,,6103,,,,4,18,4
1,Placebo,1,,6104,,,,6,18,4
1,PT00114,1,,6105,,,,4,18,4
1,PT00114,1,,6106,,,,4,18,4
1,PT00114,1,,6107,,,,4,18,4
1,Placebo,1,,6108,,,,6,18,4
1,PT00114,1,,6109,,,,5,19,5
1,Placebo,1,,6110,,,,6,19,5
1,PT00114,1,,6111,,,,5,19,5
1,Placebo,1,,6112,,,,6,19,5
1,PT00114,1,,6113,,,,5,19,5
1,PT00114,1,,6114,,,,5,19,5
1,PT00114,1,,6115,,,,5,20,5
1,PT00114,1,,6116,,,,5,20,5
1,Placebo,1,,6117,,,,6,20,5
1,Placebo,1,,6118,,,,6,20,5
1,PT00114,1,,6119,,,,5,20,5
1,PT00114,1,,6120,,,,5,20,5
